id,dyad...4,consent,age,education,gender,1. jag är bra på att beskriva mina känslor ,"2. när jag mår bra, kan jag lätt säga om det beror på att jag är stolt över mig själv, glad eller avslappnad.",3. jag har svårt att förstå varför jag reagerar på det sätt jag gör.,4. när jag känner mig nedstämd kan jag enkelt göra en koppling mellan mina känslor och den situation som påverkade mig.,"5. jag tycker att det är svårt att förklara mina känslor för andra, även när jag verkligen vill.",6. när jag blir rörd av något så vet jag direkt vilken känsla som jag känner.,"7. när jag blir arg, så har jag lätt att lugna ner mig.",8. jag har svårt att hantera mina känslor.,9. mina känslor talar om för mig vilka förändringar som jag borde göra i mitt liv.,10. jag undviker att göra mina personliga livsval baserade på mina känslor.,11. jag är bra på att känna av vad andra känner.,12. jag är ganska omedveten om andra människors känslor.,13. jag förstår inte varför människor runt omkring mig reagerar som de gör.,14. jag förstår varför människor känner som de gör.,15. andra människor tenderar att anförtro mig personliga saker,16. jag har svårt att lyssna på människor som klagar.,"17. när jag möter någon som är stressad eller orolig, kan jag lätt lugna ner dem.",18. när jag möter någon som gråter så vet jag inte vad jag ska göra.,19. jag kan lätt få det jag vill ha från andra. ,20. om jag vill så kan jag enkelt få en annan människa att känna sig illa till mods.,total,how well mean,hur väl kände du din motspelare sen tidigare?,hur nöjd är du med ditt eget resultat i förhandlingarna–d.v.s. i vilken utsträckning gynnades du?,hur nöjd är du med balansen mellan ditt eget resultat och motpartens utfall?,"kände du att du förlorade eller ""vann"" i förhandlingarna?",anser du att villkoren i förhandlingarna var rättvisa?,blev du någon gång illa berörd under förhandlingen?,fick förhandlingarna dig att känna dig mer eller mindre kompetent som förhandlare?,uppförde du dig enligt dina egna principer och värderingar?,påverkade förhandlingen din självbild eller ditt intryck av dig själv positivt eller negativt?,upplever du att din motpart lyssnade på dina önskemål?,skulle du karakterisera förhandlingsprocessen som rättvis?,hur nöjd är du med lättheten (eller svårigheten) att nå en överenskommelse?,"hade du din motparts önskemål, åsikter eller behov i åtanke under förhandlingen?","upplevde du att din motpart hade dina önskemål, åsikter eller behov i åtanke?","vilken typ av ""övergripande"" intryck gjorde din motpart på dig?",hur nöjd är du med relationen till din motpart som ett resultat av denna förhandling?,fick förhandlingen dig att lita på din motpart?,la förhandlingen en bra grund för eventuella framtida samarbeten eller en social relation med din motpart?,var det viktigt för dig att vinna spelet?,tycker du att din medspelare var trevlig?,var det viktigt för dig att din motpart skulle vara nöjd med utfallet av förhandlingen?,poäng,resultat,...54,dyad...55,totalpoäng,"bekanta (1=ja, 0=nej)",is_silent
F9B,9,Ja,33,Masterexamen,Man,6,4,1,7,2,5,4,3,5,6,5,2,1,6,6,1,6,3,5,6,84,,1,7,7,4,7,1,7,7,7,7,7,7.0,7,7,7,7,7,7,4,7,7,1000,Lika,,6.0,1800.0,1.0,False
F5A,5,Ja,34,Gymnasium,Man,6,5,3,3,2,4,5,4,6,3,5,2,2,5,6,6,5,5,5,6,88,,4,3,6,3,6,1,3,6,4,6,6,5.0,6,6,6,5,4,5,3,7,5,675,Vinst,,14.0,1570.0,1.0,False
F7B,7,Ja,24,Gymnasium,Man,5,6,2,5,3,5,3,3,1,7,5,2,2,5,6,6,6,2,5,6,85,,1,5,5,6,7,2,5,6,4,7,7,6.0,2,2,6,6,6,6,5,7,2,700,Förlust,,18.0,1200.0,1.0,False
F14B,14,Ja,21,Gymnasium,Kvinna,6,5,6,6,2,6,5,3,5,1,5,5,5,4,6,7,2,7,7,6,99,5.5,5,7,6,7,4,5,7,5,4,5,5,7.0,7,7,4,6,5,5,7,5,7,880,Vinst,,,,,False
F15A,15,Ja,23,Kandidatexamen,Man,3,6,2,6,4,2,7,4,2,6,6,5,3,6,7,3,5,5,6,5,93,7.0,7,6,6,7,6,5,7,6,3,6,5,5.0,4,6,5,5,5,5,5,6,2,945,Vinst,,,,,True
F2B,2,Ja,36,Masterexamen,Kvinna,7,6,2,6,2,6,5,6,6,3,5,2,3,5,6,4,7,2,4,5,92,1.0,1,5,6,3,7,3,3,7,5,2,3,6.0,6,5,6,6,3,6,2,7,6,945,Förlust,,3.0,2000.0,0.0,False
F8B,8,Ja,22,Gymnasium,Kvinna,5,4,2,3,6,5,6,4,5,2,7,2,7,7,6,6,7,2,4,2,92,,1,2,3,2,4,1,2,3,3,2,3,5.0,6,3,4,3,3,2,5,7,5,625,Förlust,,20.0,1200.0,0.0,False
F7A,7,Ja,55,Kandidatexamen,Man,5,5,2,6,2,5,2,5,3,6,5,3,3,4,3,5,5,2,2,6,79,1.0,1,6,5,5,6,1,2,5,2,5,6,5.0,5,3,6,6,4,4,5,6,5,800,Vinst,,17.0,2000.0,1.0,False
F16B,16,Ja,26,Kandidatexamen,Kvinna,2,6,2,5,6,4,6,2,5,6,4,4,4,5,7,2,5,3,3,2,83,,6,4,3,6,6,1,3,3,4,2,4,5.0,3,2,3,4,2,3,6,5,4,100,Lika,,,,,True
F19B,19,Ja,19,Gymnasium,Kvinna,4,6,3,5,5,5,3,6,4,3,5,2,2,6,6,2,5,2,5,4,83,,3,3,4,3,6,1,3,4,4,6,6,6.0,5,5,6,7,6,6,3,7,4,800,Lika,,,,,True
F3A,3,Ja,37,Kandidatexamen,Kvinna,5,5,2,4,3,4,3,4,2,4,5,2,2,6,5,3,5,3,3,1,71,1.0,1,5,5,4,3,3,3,4,4,5,4,5.0,5,5,6,6,4,5,3,7,5,985,Förlust,,5.0,1320.0,1.0,True
F10B,10,Ja,20,Gymnasium,Kvinna,3,5,4,4,3,4,3,4,5,6,5,2,2,6,6,4,2,3,4,5,80,,1,5,5,5,4,1,4,5,5,6,6,5.0,5,5,4,4,5,4,3,5,4,650,Lika,,,,,False
F18B,18,Ja,33,Masterexamen,Kvinna,4,6,2,6,4,4,6,5,4,4,5,2,2,5,4,4,4,2,5,3,81,,7,5,5,5,2,1,4,7,5,6,3,5.0,4,4,6,5,5,5,5,7,4,550,Förlust,,,,,False
F11A,11,Ja,32,Masterexamen,Man,6,5,2,6,1,7,6,6,2,4,7,2,2,6,7,2,7,1,5,2,86,7.0,7,7,6,6,7,1,6,6,4,6,7,6.0,1,1,7,7,6,7,7,7,5,1035,Vinst,,7.0,1500.0,0.0,False
F17A,17,Ja,23,Gymnasium,Kvinna,7,5,2,7,1,7,5,4,4,3,7,1,2,7,7,1,5,6,5,3,89,,6,6,5,7,3,1,6,2,4,6,3,6.0,4,5,5,6,5,6,5,7,5,1005,Vinst,,,,,True
F15B,15,Ja,24,Gymnasium,Man,1,6,1,5,7,6,6,7,7,2,2,1,7,1,6,1,1,7,6,6,86,,7,1,1,1,1,7,7,4,3,1,1,4.0,7,1,2,1,1,1,7,1,7,855,Förlust,,,,,True
F18A,18,Ja,39,Masterexamen,Man,4,5,3,3,4,5,3,5,5,2,5,3,5,5,7,4,4,4,6,7,89,7.0,7,6,4,6,1,2,4,2,2,7,2,5.0,2,5,6,2,6,7,6,6,2,650,Vinst,,,,,False
F13A,13,Ja,20,Gymnasium,Kvinna,5,5,4,4,3,4,4,4,5,5,5,4,4,4,6,4,5,4,4,3,86,1.0,1,5,4,3,7,1,4,5,4,6,6,4.0,4,4,6,6,5,1,4,5,2,880,Förlust,,,,,False
F4B,4,Ja,23,Kandidatexamen,Man,3,6,1,5,3,5,4,7,5,3,7,1,2,6,6,2,5,4,5,2,82,,2,7,5,7,7,1,5,7,6,5,7,7.0,6,6,7,7,6,7,7,7,5,955,Vinst,,11.0,2000.0,1.0,False
F14A,14,Ja,20,Gymnasium,Kvinna,4,3,5,3,5,5,5,4,6,3,4,5,6,2,2,6,5,3,2,6,84,,6,5,5,6,3,5,3,2,2,5,2,3.0,3,2,2,3,2,2,2,2,2,690,Förlust,,,,,False
