codes,items
empathy_1,1. jag är bra på att beskriva mina känslor
empathy_2,"2. när jag mår bra, kan jag lätt säga om det beror på att jag är stolt över mig själv, glad eller avslappnad."
empathy_3,3. jag har svårt att förstå varför jag reagerar på det sätt jag gör.
empathy_4,4. när jag känner mig nedstämd kan jag enkelt göra en koppling mellan mina känslor och den situation som påverkade mig.
empathy_5,"5. jag tycker att det är svårt att förklara mina känslor för andra, även när jag verkligen vill."
empathy_6,6. när jag blir rörd av något så vet jag direkt vilken känsla som jag känner.
empathy_7,"7. när jag blir arg, så har jag lätt att lugna ner mig."
empathy_8,8. jag har svårt att hantera mina känslor.
empathy_9,9. mina känslor talar om för mig vilka förändringar som jag borde göra i mitt liv.
empathy_10,10. jag undviker att göra mina personliga livsval baserade på mina känslor.
empathy_11,11. jag är bra på att känna av vad andra känner.
empathy_12,12. jag är ganska omedveten om andra människors känslor.
empathy_13,13. jag förstår inte varför människor runt omkring mig reagerar som de gör.
empathy_14,14. jag förstår varför människor känner som de gör.
empathy_15,15. andra människor tenderar att anförtro mig personliga saker
empathy_16,16. jag har svårt att lyssna på människor som klagar.
empathy_17,"17. när jag möter någon som är stressad eller orolig, kan jag lätt lugna ner dem."
empathy_18,18. när jag möter någon som gråter så vet jag inte vad jag ska göra.
empathy_19,19. jag kan lätt få det jag vill ha från andra.
empathy_20,20. om jag vill så kan jag enkelt få en annan människa att känna sig illa till mods.
experiment_1,1. hur väl kände du din motspelare sen tidigare?
experiment_2,2. hur nöjd är du med ditt eget resultat i förhandlingarna–d.v.s. i vilken utsträckning gynnades du?
experiment_3,3. hur nöjd är du med balansen mellan ditt eget resultat och motpartens utfall?
experiment_4,"4. kände du att du förlorade eller ""vann"" i förhandlingarna?"
experiment_5,5. anser du att villkoren i förhandlingarna var rättvisa?
experiment_6,6. blev du någon gång illa berörd under förhandlingen?
experiment_7,7. fick förhandlingarna dig att känna dig mer eller mindre kompetent som förhandlare?
experiment_8,8. uppförde du dig enligt dina egna principer och värderingar?
experiment_9,9. påverkade förhandlingen din självbild eller ditt intryck av dig själv positivt eller negativt?
experiment_10,10. upplever du att din motpart lyssnade på dina önskemål?
experiment_11,11. skulle du karakterisera förhandlingsprocessen som rättvis?
experiment_12,12. hur nöjd är du med lättheten (eller svårigheten) att nå en överenskommelse?
experiment_13,"13. hade du din motparts önskemål, åsikter eller behov i åtanke under förhandlingen?"
experiment_14,"14. upplevde du att din motpart hade dina önskemål, åsikter eller behov i åtanke?"
experiment_15,"15. vilken typ av ""övergripande"" intryck gjorde din motpart på dig?"
experiment_16,16. hur nöjd är du med relationen till din motpart som ett resultat av denna förhandling?
experiment_17,17. fick förhandlingen dig att lita på din motpart?
experiment_18,18. la förhandlingen en bra grund för eventuella framtida samarbeten eller en social relation med din motpart?
experiment_19,19. var det viktigt för dig att vinna spelet?
experiment_20,20. tycker du att din medspelare var trevlig?
experiment_21,21. var det viktigt för dig att din motpart skulle vara nöjd med utfallet av förhandlingen?
