consent,age,education,gender,id,1. jag är bra på att beskriva mina känslor,"2. när jag mår bra, kan jag lätt säga om det beror på att jag är stolt över mig själv, glad eller avslappnad.",3. jag har svårt att förstå varför jag reagerar på det sätt jag gör.,4. när jag känner mig nedstämd kan jag enkelt göra en koppling mellan mina känslor och den situation som påverkade mig.,"5. jag tycker att det är svårt att förklara mina känslor för andra, även när jag verkligen vill.",6. när jag blir rörd av något så vet jag direkt vilken känsla som jag känner.,"7. när jag blir arg, så har jag lätt att lugna ner mig.",8. jag har svårt att hantera mina känslor.,9. mina känslor talar om för mig vilka förändringar som jag borde göra i mitt liv.,10. jag undviker att göra mina personliga livsval baserade på mina känslor.,11. jag är bra på att känna av vad andra känner.,12. jag är ganska omedveten om andra människors känslor.,13. jag förstår inte varför människor runt omkring mig reagerar som de gör.,14. jag förstår varför människor känner som de gör.,15. andra människor tenderar att anförtro mig personliga saker,16. jag har svårt att lyssna på människor som klagar.,"17. när jag möter någon som är stressad eller orolig, kan jag lätt lugna ner dem.",18. när jag möter någon som gråter så vet jag inte vad jag ska göra.,19. jag kan lätt få det jag vill ha från andra.,20. om jag vill så kan jag enkelt få en annan människa att känna sig illa till mods.,1. hur väl kände du din motspelare sen tidigare?,2. hur nöjd är du med ditt eget resultat i förhandlingarna–d.v.s. i vilken utsträckning gynnades du?,3. hur nöjd är du med balansen mellan ditt eget resultat och motpartens utfall?,"4. kände du att du förlorade eller ""vann"" i förhandlingarna?",5. anser du att villkoren i förhandlingarna var rättvisa?,6. blev du någon gång illa berörd under förhandlingen?,7. fick förhandlingarna dig att känna dig mer eller mindre kompetent som förhandlare?,8. uppförde du dig enligt dina egna principer och värderingar?,9. påverkade förhandlingen din självbild eller ditt intryck av dig själv positivt eller negativt?,10. upplever du att din motpart lyssnade på dina önskemål?,11. skulle du karakterisera förhandlingsprocessen som rättvis?,12. hur nöjd är du med lättheten (eller svårigheten) att nå en överenskommelse?,"13. hade du din motparts önskemål, åsikter eller behov i åtanke under förhandlingen?","14. upplevde du att din motpart hade dina önskemål, åsikter eller behov i åtanke?","15. vilken typ av ""övergripande"" intryck gjorde din motpart på dig?",16. hur nöjd är du med relationen till din motpart som ett resultat av denna förhandling?,17. fick förhandlingen dig att lita på din motpart?,18. la förhandlingen en bra grund för eventuella framtida samarbeten eller en social relation med din motpart?,19. var det viktigt för dig att vinna spelet?,20. tycker du att din medspelare var trevlig?,21. var det viktigt för dig att din motpart skulle vara nöjd med utfallet av förhandlingen?,points,setting,partly_silent,silent
Ja,33,Masterexamen,Man,F9B,6,4,1,7,2,5,4,3,5,6,5,2,1,6,6,1,6,3,5,6,1,7,7,4,7,1,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,1000,studio,False,False
Ja,34,Gymnasium,Man,F5A,6,5,3,3,2,4,5,4,6,3,5,2,2,5,6,6,5,5,5,6,4,3,6,3,6,1,3,6,4,6,6,5,6,6,6,5,4,5,3,7,5,675,studio,True,False
Ja,24,Gymnasium,Man,F7B,5,6,2,5,3,5,3,3,1,7,5,2,2,5,6,6,6,2,5,6,1,5,5,6,7,2,5,6,4,7,7,6,2,2,6,6,6,6,5,7,2,700,studio,True,False
Ja,21,Gymnasium,Kvinna,F14B,6,5,6,6,2,6,5,3,5,1,5,5,5,4,6,7,2,7,7,6,5,7,6,7,4,5,7,5,4,5,5,7,7,7,4,6,5,5,7,5,7,880,studio,False,False
Ja,23,Kandidatexamen,Man,F15A,3,6,2,6,4,2,7,4,2,6,6,5,3,6,7,3,5,5,6,5,7,6,6,7,6,5,7,6,3,6,5,5,4,6,5,5,5,5,5,6,2,945,studio,True,True
Ja,36,Masterexamen,Kvinna,F2B,7,6,2,6,2,6,5,6,6,3,5,2,3,5,6,4,7,2,4,5,1,5,6,3,7,3,3,7,5,2,3,6,6,5,6,6,3,6,2,7,6,945,studio,False,False
Ja,22,Gymnasium,Kvinna,F8B,5,4,2,3,6,5,6,4,5,2,7,2,7,7,6,6,7,2,4,2,1,2,3,2,4,1,2,3,3,2,3,5,6,3,4,3,3,2,5,7,5,625,studio,False,False
Ja,55,Kandidatexamen,Man,F7A,5,5,2,6,2,5,2,5,3,6,5,3,3,4,3,5,5,2,2,6,1,6,5,5,6,1,2,5,2,5,6,5,5,3,6,6,4,4,5,6,5,800,studio,True,False
Ja,26,Kandidatexamen,Kvinna,F16B,2,6,2,5,6,4,6,2,5,6,4,4,4,5,7,2,5,3,3,2,6,4,3,6,6,1,3,3,4,2,4,5,3,2,3,4,2,3,6,5,4,100,studio,True,True
Ja,19,Gymnasium,Kvinna,F19B,4,6,3,5,5,5,3,6,4,3,5,2,2,6,6,2,5,2,5,4,3,3,4,3,6,1,3,4,4,6,6,6,5,5,6,7,6,6,3,7,4,800,studio,True,True
Ja,37,Kandidatexamen,Kvinna,F3A,5,5,2,4,3,4,3,4,2,4,5,2,2,6,5,3,5,3,3,1,1,5,5,4,3,3,3,4,4,5,4,5,5,5,6,6,4,5,3,7,5,985,studio,True,True
Ja,20,Gymnasium,Kvinna,F10B,3,5,4,4,3,4,3,4,5,6,5,2,2,6,6,4,2,3,4,5,1,5,5,5,4,1,4,5,5,6,6,5,5,5,4,4,5,4,3,5,4,650,studio,False,False
