timestamp,consent,age,highest education level,gender,id,dyad,1. jag är bra på att beskriva mina känslor,"2. när jag mår bra, kan jag lätt säga om det beror på att jag är stolt över mig själv, glad eller avslappnad.",3. jag har svårt att förstå varför jag reagerar på det sätt jag gör.,4. när jag känner mig nedstämd kan jag enkelt göra en koppling mellan mina känslor och den situation som påverkade mig.,"5. jag tycker att det är svårt att förklara mina känslor för andra, även när jag verkligen vill.",6. när jag blir rörd av något så vet jag direkt vilken känsla som jag känner.,"7. när jag blir arg, så har jag lätt att lugna ner mig.",8. jag har svårt att hantera mina känslor.,9. mina känslor talar om för mig vilka förändringar som jag borde göra i mitt liv.,10. jag undviker att göra mina personliga livsval baserade på mina känslor.,11. jag är bra på att känna av vad andra känner.,12. jag är ganska omedveten om andra människors känslor.,13. jag förstår inte varför människor runt omkring mig reagerar som de gör.,14. jag förstår varför människor känner som de gör.,15. andra människor tenderar att anförtro mig personliga saker,16. jag har svårt att lyssna på människor som klagar.,"17. när jag möter någon som är stressad eller orolig, kan jag lätt lugna ner dem.",18. när jag möter någon som gråter så vet jag inte vad jag ska göra.,19. jag kan lätt få det jag vill ha från andra.,20. om jag vill så kan jag enkelt få en annan människa att känna sig illa till mods.,hur väl kände du din motspelare sen tidigare?,hur nöjd är du med ditt eget resultat i förhandlingarna–d.v.s. i vilken utsträckning gynnades du?,hur nöjd är du med balansen mellan ditt eget resultat och motpartens utfall?,"kände du att du förlorade eller ""vann"" i förhandlingarna?",anser du att villkoren i förhandlingarna var rättvisa?,blev du någon gång illa berörd under förhandlingen?,fick förhandlingarna dig att känna dig mer eller mindre kompetent som förhandlare?,uppförde du dig enligt dina egna principer och värderingar?,påverkade förhandlingen din självbild eller ditt intryck av dig själv positivt eller negativt?,upplever du att din motpart lyssnade på dina önskemål?,skulle du karakterisera förhandlingsprocessen som rättvis?,hur nöjd är du med lättheten (eller svårigheten) att nå en överenskommelse?,"hade du din motparts önskemål, åsikter eller behov i åtanke under förhandlingen?","upplevde du att din motpart hade dina önskemål, åsikter eller behov i åtanke?","vilken typ av ""övergripande"" intryck gjorde din motpart på dig?",hur nöjd är du med relationen till din motpart som ett resultat av denna förhandling?,fick förhandlingen dig att lita på din motpart?,la förhandlingen en bra grund för eventuella framtida samarbeten eller en social relation med din motpart?,var det viktigt för dig att vinna spelet?,tycker du att din medspelare var trevlig?,var det viktigt för dig att din motpart skulle vara nöjd med utfallet av förhandlingen?
45051.54507995371,Ja,22,Kandidatexamen,Kvinna,Z8B,8.0,5.0,4.0,3.0,5.0,1.0,7.0,6.0,2.0,4.0,4.0,7.0,3.0,2.0,7.0,7.0,3.0,5.0,3.0,6.0,5.0,1.0,5.0,7.0,5.0,6.0,1.0,2.0,5.0,3.0,6.0,6.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,5.0,7.0,7.0
45056.59371993056,Ja,49,Gymnasium,,Z13B,13.0,6.0,6.0,4.0,7.0,6.0,3.0,6.0,3.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,2.0,4.0,2.0,4.0,3.0,1.0,4.0,4.0,4.0,6.0,1.0,4.0,4.0,4.0,6.0,7.0,7.0,6.0,6.0,7.0,7.0,7.0,7.0,1.0,7.0,6.0
45051.628353865744,Ja,33,Kandidatexamen,Kvinna,Z9A,9.0,6.0,5.0,2.0,6.0,2.0,6.0,6.0,2.0,5.0,3.0,6.0,2.0,2.0,6.0,6.0,2.0,6.0,2.0,5.0,5.0,1.0,4.0,7.0,4.0,7.0,1.0,4.0,7.0,5.0,5.0,7.0,5.0,4.0,4.0,6.0,7.0,6.0,7.0,2.0,7.0,6.0
45054.54380479167,Ja,42,Kandidatexamen,Kvinna,Z11A,11.0,4.0,5.0,4.0,7.0,3.0,6.0,3.0,5.0,6.0,3.0,4.0,4.0,4.0,6.0,4.0,3.0,4.0,3.0,3.0,4.0,1.0,5.0,7.0,4.0,7.0,1.0,4.0,7.0,4.0,7.0,7.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,4.0,6.0,7.0
45054.54452319445,Ja,53,Masterexamen,Man,Z11B,11.0,7.0,7.0,2.0,7.0,2.0,6.0,6.0,1.0,7.0,6.0,6.0,2.0,2.0,5.0,7.0,4.0,7.0,2.0,4.0,4.0,1.0,5.0,5.0,5.0,7.0,1.0,4.0,7.0,4.0,7.0,7.0,6.0,1.0,1.0,6.0,6.0,6.0,6.0,4.0,7.0,4.0
45056.5004458912,Ja,31,Yrkeshögskola,Kvinna,Z12A,12.0,5.0,5.0,2.0,5.0,3.0,5.0,5.0,3.0,5.0,4.0,5.0,2.0,2.0,5.0,5.0,2.0,5.0,2.0,4.0,2.0,1.0,4.0,5.0,5.0,6.0,1.0,3.0,6.0,6.0,4.0,6.0,6.0,4.0,4.0,5.0,5.0,4.0,4.0,2.0,7.0,6.0
45049.627042175925,Ja,37,Masterexamen,Man,Z4A,4.0,2.0,2.0,6.0,2.0,4.0,2.0,3.0,3.0,5.0,4.0,3.0,4.0,6.0,4.0,3.0,2.0,4.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,5.0
45054.50063895833,Ja,22,Kandidatexamen,Man,Z10A,10.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,2.0,4.0,3.0,1.0,6.0,4.0,4.0,4.0,1.0,1.0,7.0,1.0,6.0,4.0,5.0,5.0,,6.0,4.0,5.0,4.0,5.0,6.0,5.0
45047.5067528588,Ja,32,Gymnasium,Man,Z1B,1.0,5.0,6.0,2.0,6.0,2.0,5.0,6.0,2.0,5.0,2.0,5.0,5.0,2.0,6.0,7.0,3.0,5.0,4.0,2.0,2.0,1.0,5.0,5.0,4.0,6.0,1.0,4.0,6.0,4.0,3.0,6.0,5.0,6.0,3.0,5.0,5.0,4.0,5.0,2.0,5.0,5.0
45048.419061354165,Ja,34,Yrkeshögskola,Kvinna,Z2A,2.0,7.0,7.0,3.0,6.0,2.0,7.0,7.0,5.0,4.0,3.0,7.0,1.0,2.0,7.0,7.0,2.0,6.0,1.0,6.0,6.0,1.0,4.0,6.0,3.0,2.0,1.0,4.0,1.0,4.0,5.0,2.0,6.0,5.0,5.0,7.0,7.0,5.0,4.0,5.0,7.0,6.0
